oiii_4959_flux,oiii_5007_flux,hei_5876_flux,oi_6300_flux,h_alpha_flux,nii_6548_flux,sii_6717_flux,sii_6731_flux,morph
2,1,3,2,2,2,2,1,p_el
5,5,3,3,3,2,4,3,p_el
2,1,3,3,2,2,3,2,p_el
3,2,4,3,4,4,5,3,p_el
4,4,5,4,5,5,5,4,p_el
2,1,3,2,3,2,3,2,p_el
5,5,5,5,4,4,5,4,p_el
1,1,2,2,1,1,1,1,p_el
2,1,1,1,2,1,2,1,p_el
1,2,3,3,3,2,3,2,p_el
2,3,4,3,3,3,5,3,p_el
3,3,3,4,3,5,4,3,p_el
1,1,1,1,2,2,1,1,p_el
4,4,5,5,5,5,5,5,p_el
1,1,2,1,2,2,1,1,p_el
3,2,3,4,3,4,4,2,p_el
3,3,1,3,3,3,4,2,p_el
3,3,3,2,2,1,2,2,p_el
2,3,5,3,4,5,5,3,p_el
1,1,1,1,1,1,1,1,p_el
1,1,2,2,2,2,3,2,p_el
2,2,1,3,3,4,3,2,p_el
1,2,1,1,2,3,2,2,p_el
5,5,4,4,4,3,5,4,p_el
5,5,4,5,5,4,5,4,p_el
2,1,1,2,1,1,1,1,p_el
2,1,1,2,2,2,2,2,p_el
4,4,1,2,2,1,3,2,p_el
1,1,1,2,2,2,2,2,p_el
3,2,1,4,3,4,5,3,p_el
2,2,1,2,3,3,4,2,p_el
5,5,4,4,4,3,5,4,p_el
2,2,2,3,3,3,3,2,p_el
1,1,2,1,1,1,1,1,p_el
2,2,2,2,2,2,2,1,p_el
4,4,1,4,1,2,2,2,p_el
2,1,1,1,1,1,1,1,p_el
1,1,1,1,1,1,1,1,p_el
1,1,2,2,2,2,2,2,p_el
3,3,3,4,3,5,4,3,p_el
3,3,4,5,5,5,5,5,p_el
2,2,2,3,1,1,1,1,p_el
3,1,1,1,2,2,2,1,p_el
5,5,5,5,5,5,5,5,p_el
1,1,1,1,2,2,2,1,p_el
1,1,2,1,1,1,2,1,p_el
3,3,1,2,2,1,2,1,p_el
3,2,1,2,1,1,2,1,p_el
5,5,5,5,5,5,5,5,p_el
1,1,1,2,1,1,2,1,p_el
3,3,5,5,5,5,5,5,p_el
3,3,2,5,4,5,5,4,p_el
3,3,1,2,3,3,3,2,p_el
1,1,1,1,1,1,1,1,p_el
1,1,3,3,4,4,5,3,p_el
1,1,1,2,2,1,1,1,p_el
5,5,5,5,5,5,5,5,p_el
1,1,1,1,3,2,2,2,p_el
3,3,3,3,3,2,4,3,p_el
1,1,1,1,2,1,2,1,p_el
1,2,1,2,2,2,2,2,p_el
1,1,1,2,1,1,1,1,p_el
5,5,3,5,2,3,3,2,p_el
3,2,3,3,2,2,3,2,p_el
3,3,3,2,3,2,4,2,p_el
5,5,2,3,1,2,2,1,p_el
2,3,3,3,3,3,3,2,p_el
3,3,2,3,3,2,4,3,p_el
3,3,4,4,5,5,5,4,p_el
4,4,5,4,3,2,5,3,p_el
2,2,3,2,3,2,2,2,p_el
3,2,4,3,3,3,4,3,p_el
1,1,1,1,2,1,1,1,p_el
3,2,3,3,3,3,3,2,p_el
3,3,4,4,4,3,5,3,p_el
2,2,3,3,3,3,5,3,p_el
3,2,1,1,1,1,1,1,p_el
3,3,4,5,4,5,4,2,p_el
5,4,5,5,5,5,5,5,p_el
3,2,1,1,1,1,1,1,p_el
4,4,1,2,2,1,2,1,p_el
3,3,3,3,4,4,4,3,p_el
4,4,5,4,5,5,5,5,p_el
1,2,1,2,3,3,3,2,p_el
1,1,2,1,2,2,2,1,p_el
2,1,1,1,1,1,1,1,p_el
1,1,1,1,1,1,2,1,p_el
2,2,1,3,2,2,2,2,p_el
2,1,3,3,4,4,4,2,p_el
1,1,1,1,2,2,2,1,p_el
3,3,3,4,3,5,5,3,p_el
1,1,1,1,1,1,1,1,p_el
3,3,3,3,3,2,4,3,p_el
5,5,3,3,3,2,4,3,p_el
4,4,5,5,5,5,5,5,p_el
1,1,1,1,1,1,1,1,p_el
5,5,5,4,4,4,5,4,p_el
1,1,3,2,1,1,1,1,p_el
3,3,4,4,4,5,5,4,p_el
2,2,1,2,2,3,2,2,p_el
3,3,3,3,3,4,4,3,p_el
1,1,1,2,3,3,3,2,p_el
1,2,3,3,3,2,4,2,p_el
1,1,1,2,1,2,1,1,p_el
4,4,4,5,5,5,5,5,p_el
2,2,4,3,4,4,5,3,p_el
2,2,3,4,4,5,4,3,p_el
2,3,3,4,4,5,5,3,p_el
4,3,3,3,3,2,4,2,p_el
1,1,3,2,2,2,3,2,p_el
3,1,1,2,1,1,1,1,p_el
5,5,5,5,5,5,5,5,p_el
3,3,4,3,4,4,5,3,p_el
1,2,2,2,1,1,1,1,p_el
1,1,1,1,2,1,1,1,p_el
3,3,3,5,4,5,4,3,p_el
1,2,1,5,1,2,2,1,p_el
5,5,3,4,3,2,5,3,p_el
5,5,5,5,5,5,5,5,p_el
2,2,4,4,2,2,3,1,p_el
1,1,2,2,1,1,2,1,p_el
3,3,4,4,4,4,5,3,p_el
3,2,2,2,3,2,4,2,p_el
3,2,4,3,4,4,5,3,p_el
2,2,4,3,4,4,5,3,p_el
1,1,1,2,2,1,2,1,p_el
1,1,1,1,2,2,2,1,p_el
3,2,2,2,3,3,3,2,p_el
2,1,2,2,3,3,3,2,p_el
2,1,3,2,3,2,2,2,p_el
3,3,1,5,3,5,5,4,p_el
5,5,2,4,1,1,1,1,p_el
2,2,3,4,3,4,4,3,p_el
2,1,1,1,2,2,2,1,p_el
2,1,1,1,1,1,1,1,p_el
4,4,2,3,3,2,5,3,p_el
1,1,3,2,3,2,2,2,p_el
1,1,2,1,1,1,1,1,p_el
2,2,2,3,2,2,2,1,p_el
3,3,5,3,5,5,5,4,p_el
2,2,1,3,3,5,5,3,p_el
1,1,1,2,1,2,1,1,p_el
2,1,1,2,1,1,1,1,p_el
4,4,5,5,4,5,5,4,p_el
3,3,2,3,3,2,4,2,p_el
3,3,2,2,1,2,2,1,p_el
2,2,1,1,1,2,2,2,p_el
3,2,3,2,3,3,5,2,p_el
3,2,1,4,3,3,4,2,p_el
4,3,1,3,1,2,2,2,p_el
4,4,1,4,2,3,3,2,p_el
3,3,3,3,3,4,5,3,p_el
4,5,5,4,5,5,5,5,p_el
1,1,2,2,2,2,2,1,p_el
4,3,3,4,4,3,5,4,p_el
5,5,4,5,5,5,5,4,p_el
1,2,1,2,3,3,3,2,p_el
1,3,1,1,2,2,2,1,p_el
3,3,2,3,2,3,3,2,p_el
1,1,2,1,1,1,1,1,p_el
1,1,1,2,1,1,1,1,p_el
5,5,4,4,4,3,5,3,p_el
2,1,1,2,2,3,2,1,p_el
1,1,1,1,3,2,2,2,p_el
1,1,2,2,3,2,1,1,p_el
5,5,5,5,4,3,5,4,p_el
1,1,1,1,1,1,1,1,p_el
1,1,2,2,3,2,3,2,p_el
1,1,1,2,2,2,2,1,p_el
5,5,3,3,3,1,4,2,p_el
2,2,1,3,2,2,3,2,p_el
1,2,2,3,3,3,3,2,p_el
1,1,1,2,2,2,2,2,p_el
5,5,4,2,3,1,4,2,p_el
1,2,3,3,3,3,4,3,p_el
2,1,3,2,3,3,4,2,p_el
1,1,2,2,1,1,1,1,p_el
2,2,2,2,3,2,3,2,p_el
2,2,4,4,2,2,3,1,p_el
3,3,3,4,3,5,5,3,p_el
4,3,5,4,5,5,5,5,p_el
2,1,1,3,2,2,2,1,p_el
1,1,1,1,1,1,1,1,p_el
4,3,2,3,3,3,5,3,p_el
1,1,1,1,2,1,1,1,p_el
2,1,3,2,3,2,3,2,p_el
3,1,1,1,1,1,1,1,p_el
4,3,5,5,5,5,5,4,p_el
2,1,1,1,1,1,1,1,p_el
2,2,3,2,3,3,3,2,p_el
1,1,2,1,1,1,2,1,p_el
3,2,2,2,3,3,3,2,p_el
1,1,3,1,3,2,2,1,p_el
2,3,2,4,3,4,5,3,p_el
3,3,3,4,3,3,5,3,p_el
4,3,3,3,3,2,4,2,p_el
3,3,1,2,1,1,2,1,p_el
2,1,2,1,2,2,2,1,p_el
2,2,4,3,4,4,5,3,p_el
4,3,3,5,4,5,5,4,p_el
5,5,3,3,3,1,4,2,p_el
3,2,2,4,4,5,5,4,p_el
3,3,4,3,3,3,5,3,p_el
3,2,4,4,3,4,4,3,p_el
5,5,4,5,5,5,5,4,p_el
1,1,1,1,1,1,1,1,p_el
1,2,3,4,3,3,4,2,p_el
1,1,2,1,1,1,2,1,p_el
3,2,5,4,5,5,5,4,p_el
1,1,1,1,1,1,2,1,p_el
1,1,1,1,1,1,1,1,p_el
1,1,2,1,1,1,1,1,p_el
3,3,3,5,4,5,4,3,p_el
2,2,4,4,2,2,3,1,p_el
1,1,1,1,1,1,2,1,p_el
2,2,4,3,4,4,5,3,p_el
2,1,1,1,1,1,1,1,p_el
4,4,1,4,2,3,3,2,p_el
2,1,1,2,3,2,2,2,p_el
1,1,1,1,1,1,1,1,p_el
3,2,4,3,4,5,5,3,p_el
5,5,5,3,4,2,1,1,p_el
1,1,1,1,3,2,2,2,p_el
2,1,1,1,1,1,1,1,p_el
2,2,2,3,3,3,4,3,p_el
2,3,3,3,3,2,4,2,p_el
2,2,1,2,3,3,3,2,p_el
2,2,3,3,3,3,3,2,p_el
3,3,3,3,3,4,4,2,p_el
1,1,1,1,1,1,1,1,p_el
1,1,1,3,1,2,1,1,p_el
2,1,1,1,1,1,2,1,p_el
2,2,1,3,3,4,3,2,p_el
1,1,2,3,3,2,2,1,p_el
1,1,1,3,2,2,2,1,p_el
3,2,3,4,2,3,3,2,p_el
1,1,1,3,1,2,3,1,p_el
2,3,4,4,4,5,5,3,p_el
1,1,1,1,1,1,1,1,p_el
5,5,4,4,3,2,5,3,p_el
1,1,1,2,1,1,1,1,p_el
3,2,2,1,3,3,3,2,p_el
1,2,2,3,1,2,2,2,p_el
1,1,1,1,1,1,1,1,p_el
1,1,1,1,2,1,2,1,p_el
3,2,2,2,3,4,4,2,p_el
3,3,4,5,4,5,5,4,p_el
2,2,2,3,2,2,2,1,p_el
1,1,1,3,1,1,1,2,p_el
1,1,2,2,1,1,2,1,p_el
2,2,2,2,4,4,3,2,p_el
2,2,1,3,3,4,3,2,p_el
1,1,1,1,2,2,2,2,p_el
3,3,3,1,2,1,3,2,p_el
1,1,1,1,1,1,1,1,p_el
3,5,5,3,5,5,3,2,p_el
3,2,4,4,4,4,4,2,p_el
3,2,2,2,2,2,3,3,p_el
2,2,1,1,1,1,1,1,p_el
1,1,1,2,1,1,2,1,p_el
1,1,1,1,2,2,2,1,p_el
2,2,1,3,1,1,2,1,p_el
2,3,2,4,3,4,5,3,p_el
4,4,1,3,2,2,3,2,p_el
1,1,1,1,1,1,1,1,p_el
3,3,3,3,3,2,3,2,p_el
4,4,4,5,4,5,5,5,p_el
1,2,1,3,2,2,3,2,p_el
3,2,3,3,3,4,5,3,p_el
2,1,3,3,4,4,4,2,p_el
4,4,5,5,5,5,5,5,p_el
1,1,2,3,2,2,2,1,p_el
3,1,2,1,1,1,1,1,p_el
1,1,3,2,2,1,2,1,p_el
1,1,1,3,3,3,2,1,p_el
1,1,2,1,1,1,1,1,p_el
2,2,3,3,3,3,3,2,p_el
2,1,1,2,1,1,1,1,p_el
3,3,3,3,2,1,3,2,p_el
3,2,2,3,4,4,5,3,p_el
2,2,4,3,4,4,5,1,p_el
2,1,1,1,1,1,1,1,p_el
2,2,3,3,1,2,3,2,p_el
1,1,3,3,3,2,2,2,p_el
4,3,3,3,3,5,4,3,p_el
